# US States Location Table
# Format: Name,Description,Latmin,Latmax,Lonmin,Lonmax
# Longitude: negative for West, positive for East
# Latitude: negative for South, positive for North
Name,Description,Latmin,Latmax,Lonmin,Lonmax
alabama,Alabama,30.247195,35.00118,-88.471115,-84.889196
alaska,Alaska,54.389548,71.351633,-168.105828,-129.986323
arizona,Arizona,31.331629,37.00574,-114.815198,-109.042503
arkansas,Arkansas,33.002096,36.501861,-94.616242,-89.730812
california,California,32.536556,42.011663,-124.410798,-114.136058
colorado,Colorado,36.994786,41.003906,-109.058934,-102.042974
connecticut,Connecticut,40.987475,42.050002,-73.727192,-71.799309
delaware,Delaware,38.451652,39.831841,-75.786521,-75.047134
district-of-columbia,District of Columbia,38.791222,38.993869,-77.117418,-76.909294
florida,Florida,25.120779,31.003013,-87.633143,-80.03115
georgia,Georgia,30.356734,35.00118,-85.606675,-80.885553
hawaii,Hawaii,18.948267,20.26821,-156.062036,-154.807817
idaho,Idaho,41.995232,49.000239,-117.241483,-111.047063
illinois,Illinois,36.983832,42.510065,-91.50534,-87.49622
indiana,Indiana,37.788942,41.759724,-88.060345,-84.801565
iowa,Iowa,40.379535,43.501391,-96.631756,-90.141582
kansas,Kansas,36.994786,40.001626,-102.053927,-94.610765
kentucky,Kentucky,36.496384,39.103408,-89.418626,-81.969987
louisiana,Louisiana,29.009407,33.018527,-94.041164,-89.002379
maine,Maine,43.057759,47.461219,-71.08183,-66.979601
maryland,Maryland,37.909435,39.722302,-79.488933,-75.047134
massachusetts,Massachusetts,41.496831,42.887974,-73.508114,-69.937149
michigan,Michigan,45.095181,47.455742,-90.415429,-83.476146
minnesota,Minnesota,43.501391,49.383625,-97.228743,-89.615796
mississippi,Mississippi,30.181472,34.995703,-91.636787,-88.098683
missouri,Missouri,35.997983,40.615043,-95.7664,-89.133825
montana,Montana,44.394132,49.000239,-116.04751,-104.042057
nebraska,Nebraska,40.001626,43.002989,-104.053011,-95.306337
nevada,Nevada,35.00118,42.000709,-120.001861,-114.04295
new-hampshire,New Hampshire,42.696281,45.303304,-72.544173,-70.703921
new-jersey,New Jersey,38.993869,41.359907,-75.561967,-73.902454
new-mexico,New Mexico,31.331629,37.000263,-109.04798,-103.001438
new-york,New York,40.543843,45.018503,-79.76278,-72.100541
north-carolina,North Carolina,33.845545,36.589492,-84.319594,-75.715321
north-dakota,North Dakota,45.933153,49.000239,-104.047534,-96.560556
ohio,Ohio,38.424267,41.978802,-84.817996,-80.518598
oklahoma,Oklahoma,33.637421,37.000263,-103.001438,-94.430026
oregon,Oregon,41.989755,46.261769,-124.553198,-116.463758
pennsylvania,Pennsylvania,39.722302,42.269079,-80.518598,-74.69661
rhode-island,Rhode Island,41.321569,42.01714,-71.859555,-71.22423
south-carolina,South Carolina,32.032678,35.198349,-83.339222,-78.541422
south-dakota,South Dakota,42.488157,45.944106,-104.058488,-96.434587
tennessee,Tennessee,34.984749,36.677123,-90.311367,-81.679709
texas,Texas,25.887551,36.501861,-106.643603,-93.526331
utah,Utah,37.000263,42.000709,-114.048427,-109.042503
vermont,Vermont,42.729142,45.013027,-73.436914,-71.4926
virginia,Virginia,36.5402,39.464886,-83.673316,-75.868676
washington,Washington,45.549767,49.000239,-124.706553,-116.918344
west-virginia,West Virginia,37.20291,40.636951,-82.621743,-77.719881
wisconsin,Wisconsin,42.493634,46.95734,-92.885529,-87.03068
wyoming,Wyoming,40.998429,45.002073,-111.05254,-104.053011
puerto-rico,Puerto Rico,17.929556,18.515589,-67.269879,-65.626797
